"SLDLST10,C,3","LTR06,N,32,10","LTD06,N,32,10","LOT06,N,32,10"
"24A",229,138,367
"24A",308,132,441
"24A",299,146,445
"24A",221,127,348
"24A",104,35,140
"24A",87,52,139
"24A",84,27,111
"24A",85,40,125
"24A",93,63,156
"24A",82,32,115
"24A",60,35,95
"24A",63,17,80
"24A",95,58,153
"24A",59,30,89
"24A",81,36,118
"24A",134,63,197
"24A",272,175,448
"24A",192,71,263
"24A",101,26,127
"24A",198,110,308
"24A",340,115,456
"24A",75,36,111
"24A",185,118,303
"24A",104,41,146
"24A",79,34,114
"24A",69,33,102
"24A",59,38,97
"24A",76,22,98
"24A",118,54,172
"24A",23,24,47
"24A",39,19,58
"24A",118,65,183
"24A",403,347,750
"24A",451,351,803
"24A",93,54,147
"24A",98,36,134
"22A",4,4,8
"22A",32,61,93
"22A",78,105,183
"22A",73,64,139
"22A",7,39,46
"22A",63,63,126
"22A",80,79,159
"22A",193,282,476
"22A",42,51,93
"22A",52,22,74
"22A",38,55,93
"22A",48,30,78
"22A",108,51,159
"22A",5,14,19
"22A",456,432,889
"22A",34,27,61
"22A",55,34,89
"22A",276,313,591
"22A",0,0,0
"22A",0,0,0
"22A",31,30,63
"22A",21,28,49
"22A",41,24,65
"22A",31,38,69
"22A",24,32,56
"22A",132,94,226
"22A",78,58,136
"22A",69,36,105
"22A",64,37,101
"22A",53,23,76
"22A",108,62,170
"22A",74,14,88
"22A",67,27,94
"22A",79,77,156
"22A",604,476,1081
"22A",127,55,183
"22A",198,34,232
"22A",38,56,94
"22A",26,36,62
"22A",48,26,74
"22A",30,42,72
"22A",61,48,109
"22A",60,86,146
"22A",58,49,107
"22A",51,94,145
"22A",36,26,62
"22A",54,95,149
"22A",30,49,79
"22A",38,21,59
"22A",33,29,62
"22A",39,41,80
"22A",76,65,141
"22A",68,31,99
"22A",103,19,122
"22A",46,68,114
"22A",54,26,80
"22A",41,32,73
"22A",61,50,112
"22A",131,39,170
"22A",68,56,124
"22A",39,41,80
"22A",53,34,87
"22A",46,18,64
"22A",45,27,72
"22A",53,29,82
"22A",44,44,88
"22A",55,47,102
"22A",27,21,48
"22A",86,31,117
"22A",83,48,131
"22A",478,131,609
"22A",65,41,106
"22A",50,34,84
"22A",64,46,110
"22A",13,6,19
"22A",24,60,84
"22A",12,28,40
"22A",131,111,242
"22A",150,8,158
"22A",336,359,695
"22A",480,493,973
"22A",32,29,61
"22A",80,51,131
"22A",41,31,72
"22A",73,45,118
"22A",29,26,55
"22A",54,26,80
"22A",67,70,137
"22A",94,60,154
"22A",76,29,105
"22A",41,26,67
"22A",34,55,89
"22A",193,96,289
"22A",57,34,91
"22A",18,13,31
"22A",158,146,304
"22A",317,288,605
"22A",136,131,267
