"ID,N,12,0","DATA,N,12,0","DISTRICT,C,12","leg06pvi,N,24,16","mnleg08pvi,N,24,16","mnleg10pvi,N,24,16","pvi,N,24,16"
207256,88,"44B",-2.6182842709,-6.8303074502,-1.7398181099,-3.7294699437
207291,87,"44A",19.3529549171,8.0073651592,-16.625721474,3.5781995341
207320,98,"49B",1.3094699662,-7.5057239753,-4.0029032045,-3.3997190712
207357,97,"49A",-12.9506506045,-19.3270568097,16.7237098181,-5.1846658654
207389,92,"46B",-22.517432075,-25.4431914358,19.3861367665,-9.5248289148
207416,91,"46A",-30.7333732177,-28.5106799922,22.6082805082,-12.2119242339
207451,90,"45B",-34.5947968228,-36.5161921273,29.4856968959,-13.8750973514
207488,89,"45A",-15.6715972802,-16.003236246,6.3852361509,-8.4298657918
207522,27,"14A",-5.7422479652,-1.314636284,-19.1800081636,-8.7456308043
207555,57,"29A",24.2731367731,21.4399527884,-36.4897420942,3.0744491558
207597,58,"29B",17.8911230996,13.7521547596,-30.3285295161,0.4382494477
207629,28,"14B",-9.7586516406,-9.8248013547,-13.6564697118,-11.0799742357
207673,26,"13B",1.5723527967,1.1495904584,-17.6658738621,-4.9813102023
207718,18,"09B",-4.1618172332,1.910558521,-17.2072379652,-6.4861655591
207738,30,"15B",11.2651126511,15.1505474453,-29.5518207283,-1.0453868773
207768,60,"30B",21.1085572177,23.3821380318,-37.0641333625,2.475520629
207799,59,"30A",13.2366447268,22.0745228362,-36.2162783568,-0.3017035979
262961,118,"59B",-51.1111111111,-56.2190390928,50.3990980834,-18.9770173735
262998,117,"59A",-52.9517076754,-58.4588131089,51.011553403,-20.1329891271
263022,80,"40B",-32.7023121387,-34.411448641,22.9869774354,-14.7089277815
263051,120,"60B",-58.5303208393,-49.5157707685,52.9501915709,-18.3653000123
263080,119,"60A",-54.1308397822,-48.6008252222,46.7815792413,-18.6500285877
263108,82,"41B",-31.406561738,-27.8531980902,23.1970871506,-12.0208908925
263130,81,"41A",-22.8645408235,-25.0093293821,14.3271409153,-11.1822430968
263162,128,"64B",-44.3372171836,-46.9915731845,43.9119081976,-15.8056273902
263186,127,"64A",-54.5786811081,-54.9276047411,56.5576698659,-17.6495386611
263224,104,"52B",-24.3770400446,-27.8256039989,12.0900304083,-13.3708712117
263259,103,"52A",-37.645364157,-32.0247765492,24.1096812809,-15.1868198084
263290,130,"65B",-51.3178346962,-48.6023026637,46.5585285492,-17.7872029369
263323,131,"66A",-34.9733625823,-30.7454822377,30.5419393707,-11.7256351497
263359,129,"65A",-57.9035657448,-58.908019799,58.4224536497,-19.4630439647
263392,132,"66B",-52.742949524,-51.5713695944,47.6889698191,-18.8751164331
263432,84,"42B",-8.5231478544,-11.6397260041,5.9508350871,-4.7373462571
263465,116,"58B",21.9843342037,11.3545213098,-28.4800881247,1.6195891296
263488,107,"54A",-17.1891117479,-15.6661269564,-1.5095879233,-11.4549422092
263523,108,"54B",10.1295020925,6.1460270237,-23.0990340586,-2.2745016475
263549,134,"67B",-46.0403065569,-43.2013769363,36.5885116772,-17.551057272
263579,105,"53A",-24.0325135224,-25.7911465291,13.0379165573,-12.2619144981
263610,133,"67A",-50.0569151964,-49.6571405922,38.8377561303,-20.2920998861
263637,85,"43A",-15.8234711679,-15.7280882112,6.4230481417,-8.3761704125
263672,86,"43B",-25.0221854109,-23.5928781459,10.6409923367,-12.65802374
263705,106,"53B",1.5413827767,-5.0571156592,-9.281494923,-4.2657426018
