"DISTRICT,C,12","MEANp08,N,24,16","MEANleg08,N,24,16","MEANsen08,N,24,16","MEANg10,N,24,16","MEANleg10,N,24,16","MEANpvi,N,24,16"
22B,7.4784989735,15.3144237104,10.8104628385,14.3788804811,35.3458105964,16.66561532
23A,14.6786754283,24.4974591675,14.8039209225,21.2108697885,40.2452706131,23.087239184
22A,8.7994173434,17.1918007161,15.0891641596,15.5077014883,17.1818954919,14.7539958399
16A,2.0978607513,6.8461563578,7.4537980699,7.7148358563,8.6275837947,6.548046966
12A,3.4810126876,2.3814411974,9.3922293295,8.8793900002,12.5425924878,7.3353331405
16B,16.9794872621,17.4092627846,18.2820613089,25.8002390309,61.7123356284,28.036677203
17A,1.3166620666,-13.3468276618,4.855880763,6.2542246796,10.4013109455,1.8962501586
17B,5.8874055066,-5.0309821575,10.2954817641,9.0341454649,26.9322186921,9.423653854
12B,15.9117567427,16.4567187607,16.6712213246,21.6563384441,69.4668768748,28.0325824294
18A,12.968445219,8.9856664744,16.3763232288,19.5408513283,36.4951557339,18.8732883969
13A,16.5600015624,-8.3768339695,17.9804053117,20.383350881,13.0627091983,11.9219265968
23B,6.7895393936,5.2568634684,8.9115361698,13.5251291637,35.7769804151,14.0520097221
27A,-7.8644703637,-8.6252673645,-0.6460150725,-0.3372119901,9.3300109779,-1.6285907626
27B,-11.6051295563,-20.9090816135,-3.3456976267,-3.5450994494,-6.3901196343,-9.159025576
26A,-7.2768410151,-16.6906608813,4.6776345227,2.6048522176,-5.3020390164,-4.3974108345
26B,7.2621306846,-4.5295042693,13.9227155628,16.5942956995,11.3998775003,8.9299030356
19A,-0.8532088567,-16.7586028339,4.5529779049,5.8569006032,6.2312313806,-0.1941403604
19B,-14.4138914771,-21.3627003428,-2.3885299772,-4.270172826,-0.19070424,-8.5251997726
18B,21.9000998393,18.4650258274,20.6131900055,27.9756640644,48.9091238689,27.5726207211
20A,11.1891625304,13.8070952365,13.7034131611,17.071905583,9.9395860113,13.1422325045
24A,10.3555220427,-7.6930554835,12.1155357531,14.7083607494,-7.3489530138,4.4274820096
20B,0.1718867375,-1.6418829913,2.9633940893,8.1975330165,2.4059458746,2.4193753453
47A,27.2567354326,34.7673602326,29.4995893567,36.5567526084,40.8774998137,33.7915874888
47B,10.5241252709,24.913830154,23.6311535862,25.7057178242,57.3098055888,28.4169264848
33A,12.2676962138,24.2387426292,23.4202886855,27.28411948,32.7845558281,23.9990805673
34A,10.7480238973,21.1498057126,20.5085463192,24.504892637,30.2777797995,21.4378096731
34B,1.3183599015,10.5072489644,14.5537800677,16.762969346,17.9243383246,12.2133393208
40A,-26.3234286675,-25.1665720787,-15.1421212009,-13.008651423,-15.0756857403,-18.9432918221
36B,-12.3128647683,-15.7033139023,-2.0187302128,-0.8451141466,-8.0132451937,-7.7786536447
36A,-1.7302467158,-4.9248115328,6.7550682328,7.4813719367,5.6545208537,2.6471805549
35A,8.1799080314,19.6631715705,13.4373147021,15.1079108093,28.8419608352,17.0460531897
35B,13.0608303096,14.5736769161,18.9783709945,20.8936830911,28.9136632141,19.2840449051
31A,20.603545698,20.7298480408,20.703498598,27.0174016554,31.4941717161,24.1096931417
15A,13.4914734803,1.0366728942,9.4920326924,15.3988114246,12.9989030314,10.4835787046
24B,9.6208246533,-2.9391225566,10.9907781986,16.7544137817,8.0041158067,8.4862019767
58A,7.852053948,19.9962947575,18.9507132743,20.9948433589,29.6351641062,19.485813889
