XdistrictXZXgeomX
X12XZX{"type":"Polygon","coordinates":[[[-96.8568,45.1767],[-96.8568,46.6309],[-94.505,46.6309],[-94.505,45.1767],[-96.8568,45.1767]]]}X
X17XZX{"type":"Polygon","coordinates":[[[-96.1183,44.456],[-96.1183,45.413],[-94.4977,45.413],[-94.4977,44.456],[-96.1183,44.456]]]}X
X13XZX{"type":"Polygon","coordinates":[[[-94.7632,45.2823],[-94.7632,45.7753],[-94.0473,45.7753],[-94.0473,45.2823],[-94.7632,45.2823]]]}X
X23XZX{"type":"Polygon","coordinates":[[[-95.2159,43.4997],[-95.2159,44.283],[-93.4061,44.283],[-93.4061,43.4997],[-95.2159,43.4997]]]}X
X27XZX{"type":"Polygon","coordinates":[[[-93.7685,43.4994],[-93.7685,43.9357],[-92.4489,43.9357],[-92.4489,43.4994],[-93.7685,43.4994]]]}X
X26XZX{"type":"Polygon","coordinates":[[[-92.6894,43.8337],[-92.6894,44.1945],[-92.0785,44.1945],[-92.0785,43.8337],[-92.6894,43.8337]]]}X
X19XZX{"type":"Polygon","coordinates":[[[-94.7867,44.1085],[-94.7867,44.4569],[-93.8684,44.4569],[-93.8684,44.1085],[-94.7867,44.1085]]]}X
X18XZX{"type":"Polygon","coordinates":[[[-94.7635,44.4559],[-94.7635,45.3268],[-93.7637,45.3268],[-93.7637,44.4559],[-94.7635,44.4559]]]}X
X20XZX{"type":"Polygon","coordinates":[[[-93.9658,44.2392],[-93.9658,44.6453],[-93.0395,44.6453],[-93.0395,44.2392],[-93.9658,44.2392]]]}X
X47XZX{"type":"Polygon","coordinates":[[[-94.0125,44.6346],[-94.0125,44.9787],[-93.5204,44.9787],[-93.5204,44.6346],[-94.0125,44.6346]]]}X
X33XZX{"type":"Polygon","coordinates":[[[-93.7678,44.8582],[-93.7678,45.1528],[-93.4767,45.1528],[-93.4767,44.8582],[-93.7678,44.8582]]]}X
X55XZX{"type":"Polygon","coordinates":[[[-93.7473,44.63],[-93.7473,44.813],[-93.3183,44.813],[-93.3183,44.63],[-93.7473,44.63]]]}X
X48XZX{"type":"Polygon","coordinates":[[[-93.5233,44.7988],[-93.5233,44.9371],[-93.3985,44.9371],[-93.3985,44.7988],[-93.5233,44.7988]]]}X
X44XZX{"type":"Polygon","coordinates":[[[-93.5246,44.9212],[-93.5246,45.0663],[-93.3991,45.0663],[-93.3991,44.9212],[-93.5246,44.9212]]]}X
X49XZX{"type":"Polygon","coordinates":[[[-93.4455,44.7853],[-93.4455,44.9306],[-93.3187,44.9306],[-93.3187,44.7853],[-93.4455,44.7853]]]}X
X46XZX{"type":"Polygon","coordinates":[[[-93.46,44.9061],[-93.46,45.0238],[-93.3285,45.0238],[-93.3285,44.9061],[-93.46,44.9061]]]}X
X35XZX{"type":"Polygon","coordinates":[[[-93.5126,45.1781],[-93.5126,45.2994],[-93.265,45.2994],[-93.265,45.1781],[-93.5126,45.1781]]]}X
X45XZX{"type":"Polygon","coordinates":[[[-93.4389,44.9771],[-93.4389,45.0658],[-93.3184,45.0658],[-93.3184,44.9771],[-93.4389,44.9771]]]}X
X40XZX{"type":"Polygon","coordinates":[[[-93.4023,45.04],[-93.4023,45.1108],[-93.2783,45.1108],[-93.2783,45.04],[-93.4023,45.04]]]}X
X14XZX{"type":"Polygon","coordinates":[[[-94.2695,45.413],[-94.2695,45.6478],[-94.0064,45.6478],[-94.0064,45.413],[-94.2695,45.413]]]}X
X29XZX{"type":"Polygon","coordinates":[[[-94.2615,44.9779],[-94.2615,45.3888],[-93.6812,45.3888],[-93.6812,44.9779],[-94.2615,44.9779]]]}X
X30XZX{"type":"Polygon","coordinates":[[[-93.7996,45.145],[-93.7996,45.3863],[-93.5098,45.3863],[-93.5098,45.145],[-93.7996,45.145]]]}X
X34XZX{"type":"Polygon","coordinates":[[[-93.6589,45.0645],[-93.6589,45.2466],[-93.3889,45.2466],[-93.3889,45.0645],[-93.6589,45.0645]]]}X
X36XZX{"type":"Polygon","coordinates":[[[-93.4228,45.1085],[-93.4228,45.212],[-93.2847,45.212],[-93.2847,45.1085],[-93.4228,45.1085]]]}X
