"STATEFP10,C,2","SLDLST10,C,3","GEOID10,C,5","SUMltr06,N,24,16","SUMtd06,N,24,16","SUMlot06,N,24,16","leg06pvi,N,24,16","SUMltr08,N,24,16","SUMltd08,N,24,16","SUMlot08,N,24,16","leg08pvi,N,24,16","SUMltr10,N,24,16","SUMltd10,N,24,16","SUMlot10,N,24,16","leg10pvi,N,24,16","pvi,N,24,16"
"27","16B","2716B",22800,15904,38921,17.7179414712,30583,20572,51451,19.4573477678,12674,26211,39022,-34.6906873046,0.8282006448
"27","05A","2705A",4289,16310,20608,-58.3317158385,5440,19106,24597,-55.559621092,14567,6074,20666,41.0964869835,-24.2649499824
"27","05B","2705B",6696,19548,26272,-48.919001218,9946,22511,32628,-38.5098688243,16389,8967,25379,29.2446510895,-19.394739651
"27","07B","2707B",5968,18850,24866,-51.8056784364,9091,25059,35515,-44.9612839645,15211,6784,23268,36.217122228,-20.1832800577
"27","07A","2707A",7164,18435,25675,-43.8987341772,11429,24204,36193,-35.2968806123,15702,8375,24442,29.977088618,-16.4061753905
"27","21B","2721B",11801,6712,19659,25.8863624803,11965,10703,22686,5.5629022305,1473,14133,15899,-79.6276495377,-16.059461609
"27","13B","2713B",9604,9621,19261,-0.0882612533,10667,12458,23161,-7.7328267346,7724,10413,18186,-14.7860991972,-7.5357290617
"27","59B","2759B",5245,21971,28229,-59.2511247299,9073,29099,40615,-49.3069063154,19745,5646,27149,51.9319311945,-18.8753666169
"27","58B","2758B",5489,20013,25753,-56.3973129344,7294,29374,38194,-57.8101272451,18813,5818,24920,52.1468699839,-20.6868567319
"27","59A","2759A",5667,19199,25901,-52.2450870623,7370,24502,34638,-49.4601304925,17929,6304,24761,46.9488308227,-18.2521289107
"27","58A","2758A",4646,14566,19435,-51.041934654,5336,21707,28107,-58.2452769773,13262,4250,17570,51.2919749573,-19.331745558
"27","62B","2762B",5846,23225,29380,-59.1524846835,6921,27653,36114,-57.4070997397,21649,5864,27586,57.2210541579,-19.7795100884
"27","60B","2760B",8851,31090,41371,-53.755045805,10501,37184,51373,-51.9397348802,29928,9155,39143,53.0695143448,-17.5417554468
"27","61B","2761B",3774,25924,30701,-72.1474870525,5113,30984,40634,-63.6683565487,24488,4064,28928,70.6028761062,-21.7376558317
"27","62A","2762A",5658,27605,33600,-65.318452381,7414,33191,41709,-61.8020091587,25482,5601,31598,62.918539148,-21.4006407972
"27","61A","2761A",2608,17655,21049,-71.4855812628,4186,25045,31129,-67.0082559671,15936,2683,19640,67.4796334012,-23.6714012762
"27","60A","2760A",5547,26394,32290,-64.561783834,8294,34633,43818,-60.1100004564,23586,6494,30334,56.3460143733,-22.775256639
"27","19B","2719B",25715,15781,41665,23.8425537021,34556,21327,55975,23.6337650737,13459,29353,42855,-37.0878543927,3.462821461
"27","46A","2746A",9095,15166,24291,-24.9927956856,12682,21320,34435,-25.0849426456,12730,9703,22673,13.3506814272,-12.2423523013
"27","32A","2732A",32123,21119,53514,20.5628433681,43433,27586,71137,22.2767336267,17895,36226,54174,-33.8372651087,3.0007706287
"27","32B","2732B",18815,16432,35279,6.7547266079,25506,21110,46695,9.4142841846,14546,20250,34907,-16.3405620649,-0.0571837575
"27","33A","2733A",20681,12763,34780,22.7659574468,25470,15310,40836,24.8800078362,10892,21351,32273,-32.4078951445,5.0793567128
"27","43A","2743A",20121,19075,39406,2.6544181089,24787,22709,47552,4.3699528937,15925,20220,36166,-11.8757949455,-1.6171413143
"27","33B","2733B",22902,15228,39805,19.2789850521,28024,19081,47172,18.9582803358,12399,24701,37210,-33.0610051062,1.7254200939
"27","42A","2742A",19069,16871,36662,5.9953084938,21212,23377,45673,-4.7402185098,15284,19754,35189,-12.7028332718,-3.8159144293
"27","42B","2742B",19521,13429,33379,18.2509961353,24109,20069,44247,9.130562524,11600,21289,33097,-29.2745566063,-0.6309993157
"27","40B","2740B",15163,15883,31948,-2.2536622011,15946,25540,41591,-23.0674905629,17043,13679,31193,10.7844708749,-4.8455606297
"27","63B","2763B",13725,25715,39740,-30.1711122295,16553,34987,51667,-35.6784794937,23582,13884,37672,25.7432575918,-13.3687780438
"27","41B","2741B",20111,14291,37000,15.7297297297,20864,23224,46067,-5.122973061,16846,18938,36477,-5.735120761,1.6238786359
"27","41A","2741A",19765,21577,45580,-3.9754278192,18685,29524,56082,-19.3270568097,25992,18516,44703,16.7237098181,-2.1929249369
"27","43B","2743B",19119,22304,41911,-7.599436902,23632,28196,51904,-8.7931565968,20107,19911,40050,0.4893882647,-5.3010684114
"27","44A","2744A",13049,18839,33387,-17.3420792524,14548,25671,43717,-25.4431914358,19176,12942,32157,19.3861367665,-7.7997113072
"27","44B","2744B",11624,25070,36769,-36.5688487585,15287,30823,46331,-33.5326239451,21749,12247,34033,27.9199600388,-14.0605042216
"27","45A","2745A",13912,19436,33392,-16.5428845232,18526,23497,42110,-11.8047969603,16176,14851,31057,4.2663489712,-8.0271108374
"27","45B","2745B",10170,22638,32873,-37.9277826788,13402,29690,43618,-37.3423815856,19864,10952,30878,28.8619729257,-15.4693971129
"27","46B","2746B",9090,18636,27786,-34.3554307925,11969,25098,38153,-34.411448641,15649,9771,25571,22.9869774354,-15.2599673327
"27","63A","2763A",10916,26465,38062,-40.8517681677,12264,33212,46659,-44.8959471913,25211,10732,36029,40.1870715257,-15.1868812778
"27","08A","2708A",8092,15441,23590,-31.1530309453,10400,19638,30199,-30.5904169012,13205,9195,22512,17.8127221038,-14.6435752476
"27","08B","2708B",11544,11439,23213,0.4523327446,14801,14937,29912,-0.4546670233,10067,12871,23134,-12.1206881646,-4.0410074811
"27","27A","2727A",7740,14646,22413,-30.812474903,10407,14996,25435,-18.0420680165,9977,9739,19819,1.2008678541,-15.8845583551
