District,pvi06,pvi08,pvi10,pvi,rpvi
35B,23.8985313752,26.3808738664,34.4278126509,28.2357392975,GOP + 28
35A,9.21399022189,10.3313696613,30.2379125096,16.5944241309,GOP + 17
34A,32.3956190582,35.8980723091,30.3358268343,32.8765060672,GOP + 33
17B,-2.04387990762,-7.24462481651,17.6284326036,2.77997595982,GOP + 3
34B,21.9365274137,25.5958333333,89.213240747,45.5818671647,GOP + 46
48B,21.1976997819,30.383334162,36.2249317076,29.2686552172,GOP + 29
48A,9.88095238095,18.0545658149,31.1719532554,19.7024904838,GOP + 20
20A,-14.004190127,-2.59076489249,-4.21229991575,-6.93575164509,DFL + 7
20B,-14.2189761811,-33.8652684373,-1.21020976969,-16.431484796,DFL + 16
14B,-12.6840737532,-34.3030020945,-10.4364789076,-19.1411849184,DFL + 19
14A,8.03299789375,10.1459227468,21.2431992996,13.1407066467,GOP + 13
61B,-79.1715025444,-53.0279160628,-76.6504453218,-69.6166213097,DFL + 70
07B,-97.0258890979,-53.04072497,-44.6261056017,-64.8975732232,DFL + 65
08A,-36.7346938776,-30.3707769849,-17.840250483,-28.3152404485,DFL + 28
61A,-76.7133566783,-78.1464438524,-68.6628060016,-74.5075355108,DFL + 75
32B,2.21806853583,6.29320619785,10.8692917348,6.46018882283,GOP + 6
32A,29.5853602038,32.5765358537,42.0206659013,34.7275206529,GOP + 35
60B,-62.694491169,-60.3749136144,-59.3563832749,-60.8085960194,DFL + 61
23A,-4.83440962142,-27.2438672439,-10.1709018754,-14.0830595802,DFL + 14
23B,-21.5675236129,-30.0551931761,-12.4194702935,-21.3473956942,DFL + 21
15A,-1.17796303008,9.22902249135,24.6442673024,10.8984422546,GOP + 11
15B,-24.5935560154,-34.2119752237,-0.696248571132,-19.8339266034,DFL + 20
60A,-61.7630331754,-61.5008859729,-57.5819812419,-60.2819667967,DFL + 60
07A,-37.483184542,-32.7344782034,-29.5766516998,-33.2647714818,DFL + 33
55A,-33.3048339362,-29.5381474866,-19.2540322581,-27.365671227,DFL + 27
55B,-32.4782553889,-28.9151912354,-14.5928476077,-25.328764744,DFL + 25
